week_start,week_end,Produit,Ville,Prix,Variation,Semaine,Source_File
2025-06-09,2025-06-15,Lait concentré ??JAGO?? (1 KG),Porto-Novo,1400,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Lait concentré ??JAGO?? (1 KG),Parakou,1400,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Lait concentré ??JAGO?? (1 KG),Natitingou,1400,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Lait concentré ??JAGO?? (1 KG),Bohicon,1500,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Lait concentré ??JAGO?? (1 KG),Lokossa,1400,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Lait concentré ??Cèbon?? (1 KG),Cotonou,1300,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Lait concentré ??Cèbon?? (1 KG),Porto-Novo,1200,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Lait concentré ??Cèbon?? (1 KG),Parakou,1200,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Lait concentré ??Cèbon?? (1 KG),Natitingou,1200,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Lait concentré ??Cèbon?? (1 KG),Bohicon,1200,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Lait concentré ??Cèbon?? (1 KG),Lokossa,1200,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Farine de blé (1 KG),Cotonou,500,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Farine de blé (1 KG),Porto-Novo,533,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Farine de blé (1 KG),Parakou,483,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Farine de blé (1 KG),Natitingou,567,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
2025-06-09,2025-06-15,Farine de blé (1 KG),Bohicon,500,0.0,09_au_15_juin_2025,2. Prix_des_produits_du_09_au_15_juin_2025_2e?me_Semaine.docx
